classroom_name,session,avg_progress,n_activities,n_completed,n_students,completion_rate
School_09 기후변화,4.0,0.11428571428571428,35,4,5,0.11428571428571428
School_09 기후변화,5.0,0.04444442222222222,45,1,5,0.022222222222222223
School_09 기후변화,6.0,0.04242423636363637,55,2,5,0.03636363636363636
School_09 기후변화,7.0,0.0,40,0,5,0.0
School_09 기후변화,8.0,0.0,50,0,5,0.0
School_09 기후변화,9.0,0.0,50,0,5,0.0
School_09 기후변화,10.0,0.0,50,0,5,0.0
School_09 기후변화,11.0,0.0,50,0,5,0.0
School_09 기후변화,12.0,0.0,30,0,5,0.0
School_09 기후변화,13.0,0.0,35,0,5,0.0
School_09 기후변화,14.0,0.0,20,0,5,0.0
School_09 기후변화,15.0,0.0,25,0,5,0.0
School_10,1.0,0.7157189382716049,162,99,18,0.6111111111111112
School_10,2.0,0.5808751203703704,162,74,18,0.4567901234567901
School_10,3.0,0.574431213888889,144,69,18,0.4791666666666667
School_10,4.0,0.635397946969697,198,104,18,0.5252525252525253
School_10,5.0,0.7226811055555555,72,47,18,0.6527777777777778
School_10,6.0,0.8625771527777778,72,58,18,0.8055555555555556
School_10,7.0,0.7627047222222223,126,85,18,0.6746031746031746
School_10,8.0,0.8134644555555555,90,63,18,0.7
School_10,9.0,0.6892836666666666,90,56,18,0.6222222222222222
School_10,10.0,0.6692129861111111,72,46,18,0.6388888888888888
School_10,11.0,0.6890432407407407,54,36,18,0.6666666666666666
School_10,12.0,0.505291,126,59,18,0.46825396825396826
School_10,13.0,0.1841269841269841,126,19,18,0.15079365079365079
School_10,14.0,0.2916666666666667,72,16,18,0.2222222222222222
School_10,15.0,0.2916666666666667,108,29,18,0.26851851851851855
School_11,1.0,0.7934543190643274,171,133,19,0.7777777777777778
School_11,2.0,0.8266613514619883,171,139,19,0.8128654970760234
School_11,3.0,0.7440140526315789,152,110,19,0.7236842105263158
School_11,4.0,0.7954393896650718,209,154,19,0.7368421052631579
School_11,5.0,0.9064327500000001,76,67,19,0.881578947368421
School_11,6.0,0.765497075,76,57,19,0.75
School_11,7.0,0.8668489398496241,133,112,19,0.8421052631578947
School_11,8.0,0.566809312631579,95,51,19,0.5368421052631579
School_11,9.0,0.9137921694736842,95,84,19,0.8842105263157894
School_11,10.0,0.8370614078947368,76,62,19,0.8157894736842105
School_11,11.0,0.8518518526315789,57,47,19,0.8245614035087719
School_11,12.0,0.8057644060150376,133,105,19,0.7894736842105263
School_11,13.0,0.5639097744360902,133,73,19,0.5488721804511278
School_11,14.0,0.5592105263157895,76,42,19,0.5526315789473685
School_11,15.0,0.5482456140350878,114,58,19,0.5087719298245614
School_12 식량안보,1.0,0.9232418518518519,54,49,6,0.9074074074074074
School_12 식량안보,2.0,0.8959595925925926,54,47,6,0.8703703703703703
School_12 식량안보,3.0,0.75,48,35,6,0.7291666666666666
School_12 식량안보,4.0,0.6391673606060606,66,40,6,0.6060606060606061
School_12 식량안보,5.0,0.8072390666666666,24,19,6,0.7916666666666666
School_12 식량안보,6.0,0.828001,24,17,6,0.7083333333333334
School_12 식량안보,7.0,0.766837538095238,42,30,6,0.7142857142857143
School_12 식량안보,8.0,0.6263614533333333,30,15,6,0.5
School_12 식량안보,9.0,0.5020431666666666,30,12,6,0.4
School_12 식량안보,10.0,0.6347222499999999,24,13,6,0.5416666666666666
School_12 식량안보,11.0,0.13206633333333334,18,1,6,0.05555555555555555
School_12 식량안보,12.0,0.07142857142857142,42,1,6,0.023809523809523808
School_12 식량안보,13.0,0.4166666666666667,42,15,6,0.35714285714285715
School_12 식량안보,14.0,0.7083333333333334,24,15,6,0.625
School_12 식량안보,15.0,0.3611111111111111,36,11,6,0.3055555555555556
School_13 식량안보,1.0,0.8125261206349206,189,151,21,0.798941798941799
School_13 식량안보,2.0,0.7874843141269842,189,148,21,0.783068783068783
School_13 식량안보,3.0,0.8261450625,168,136,21,0.8095238095238095
School_13 식량안보,4.0,0.752682890952381,231,164,21,0.70995670995671
School_13 식량안보,5.0,0.8817042619047619,84,71,21,0.8452380952380952
School_13 식량안보,6.0,0.8382771071428572,84,67,21,0.7976190476190477
School_13 식량안보,7.0,0.6674069659863946,147,94,21,0.6394557823129252
School_13 식량안보,8.0,0.8070608761904763,105,80,21,0.7619047619047619
School_13 식량안보,9.0,0.782522238095238,105,80,21,0.7619047619047619
School_13 식량안보,10.0,0.7315476190476191,84,59,21,0.7023809523809523
School_13 식량안보,11.0,0.7046385873015873,63,43,21,0.6825396825396826
School_13 식량안보,12.0,0.5170068027210885,147,75,21,0.5102040816326531
School_13 식량안보,13.0,0.5952380952380952,147,86,21,0.5850340136054422
School_13 식량안보,14.0,0.7857142857142857,84,65,21,0.7738095238095238
School_13 식량안보,15.0,0.5912698412698413,126,73,21,0.5793650793650794
School_14 기후변화,1.0,0.36531701587301585,63,16,7,0.25396825396825395
School_14 기후변화,2.0,0.1801607023809524,84,11,7,0.13095238095238096
School_14 기후변화,3.0,0.3312014014285714,70,20,7,0.2857142857142857
School_14 기후변화,4.0,0.4347167124489796,49,20,7,0.40816326530612246
School_14 기후변화,5.0,0.44973542857142856,63,27,7,0.42857142857142855
School_14 기후변화,6.0,0.3073592987012987,77,23,7,0.2987012987012987
School_14 기후변화,7.0,0.3756147321428571,56,17,7,0.30357142857142855
School_14 기후변화,8.0,0.12341124285714286,70,7,7,0.1
School_14 기후변화,9.0,0.42594647428571425,70,28,7,0.4
School_14 기후변화,10.0,0.3413451631428571,70,22,7,0.3142857142857143
School_14 기후변화,11.0,0.34367504285714284,70,20,7,0.2857142857142857
School_14 기후변화,12.0,0.07142857142857142,42,3,7,0.07142857142857142
School_14 기후변화,13.0,0.14285712244897958,49,6,7,0.12244897959183673
School_14 기후변화,14.0,0.03571428571428571,28,1,7,0.03571428571428571
School_14 기후변화,15.0,0.0,35,0,7,0.0
School_15 해양쓰레기,1.0,0.66253535,80,51,8,0.6375
School_15 해양쓰레기,2.0,0.7403121559166667,48,35,8,0.7291666666666666
School_15 해양쓰레기,3.0,0.11369046428571429,56,5,8,0.08928571428571429
School_15 해양쓰레기,4.0,0.02656250625,160,2,8,0.0125
School_15 해양쓰레기,5.0,0.0013888875,80,0,8,0.0
School_15 해양쓰레기,6.0,0.0,64,0,8,0.0
School_15 해양쓰레기,7.0,0.005208333333333333,96,0,8,0.0
School_15 해양쓰레기,8.0,0.5598214375,80,36,8,0.45
School_15 해양쓰레기,9.0,0.16510415625,64,9,8,0.140625
School_15 해양쓰레기,10.0,0.6489737708333333,48,27,8,0.5625
School_15 해양쓰레기,11.0,0.5586580178571429,56,26,8,0.4642857142857143
School_15 해양쓰레기,12.0,0.10416666071428571,56,5,8,0.08928571428571429
School_15 해양쓰레기,13.0,0.223958328125,64,13,8,0.203125
School_15 해양쓰레기,14.0,0.2325,40,7,8,0.175
School_15 해양쓰레기,15.0,0.21875,48,9,8,0.1875
School_16 식량안보,1.0,0.849721607142857,126,105,14,0.8333333333333334
School_16 식량안보,2.0,0.8024386649999999,126,96,14,0.7619047619047619
School_16 식량안보,3.0,0.7527339339285714,112,78,14,0.6964285714285714
School_16 식량안보,4.0,0.748403813051948,154,101,14,0.6558441558441559
School_16 식량안보,5.0,0.8571167500000001,56,42,14,0.75
School_16 식량안보,6.0,0.8821165892857142,56,44,14,0.7857142857142857
School_16 식량안보,7.0,0.8771236938775511,98,80,14,0.8163265306122449
School_16 식량안보,8.0,0.9021813571428572,70,56,14,0.8
School_16 식량안보,9.0,0.8397017142857143,70,55,14,0.7857142857142857
School_16 식량안보,10.0,0.9501706964285714,56,48,14,0.8571428571428571
